lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
102,0,87.0,10,16,3,2,0,1,0,1
42,2,63.0,11,20,3,2,0,0,0,1
0,0,85.0,2,16,4,1,0,0,0,1
218,0,90.95,10,17,4,4,1,0,0,0
115,0,108.0,10,13,4,1,0,3,0,0
6,0,89.0,1,7,4,3,0,0,0,1
59,0,126.0,12,11,4,1,2,0,3,0
82,0,76.5,4,11,3,2,1,0,0,1
75,0,80.75,6,25,3,1,2,0,0,1
139,0,85.5,7,2,4,1,0,3,0,0
240,2,67.5,12,10,4,1,2,3,0,0
61,1,149.4,9,11,4,3,2,0,3,1
102,0,101.5,10,16,4,2,0,1,0,0
257,0,101.5,7,1,3,2,0,1,0,0
13,2,260.0,11,10,4,1,0,0,6,1
152,0,94.05,10,23,4,2,2,3,0,0
377,1,115.0,10,14,4,2,0,1,0,0
30,0,88.4,3,4,4,2,0,0,0,1
10,2,90.0,8,18,4,5,0,0,0,1
65,0,72.25,6,2,3,3,0,3,0,1
143,0,100.0,8,25,3,3,0,0,0,1
90,0,99.45,4,12,4,4,0,0,3,0
70,0,80.0,7,11,3,5,1,0,0,0
136,0,85.5,6,29,4,3,0,3,0,0
114,0,40.67,3,23,3,3,0,0,0,1
206,3,109.8,10,28,4,2,2,0,3,1
107,1,76.5,8,12,4,1,0,0,1,1
109,0,74.89,4,2,4,5,2,0,1,1
166,0,110.0,11,1,3,3,0,0,0,0
28,0,119.0,7,29,4,1,0,0,0,0
1,0,71.7,1,27,4,2,0,0,0,1
276,0,61.0,5,13,3,3,2,0,0,0
31,1,55.8,12,11,3,2,1,0,0,1
141,1,96.9,7,12,3,5,2,1,0,1
123,0,97.33,7,2,4,2,2,0,0,0
192,0,95.0,6,24,3,2,0,0,0,0
280,1,94.95,8,12,4,1,0,0,1,0
85,0,168.3,9,15,4,3,1,0,3,0
17,1,70.0,3,17,2,2,0,0,0,1
119,2,79.2,11,4,4,2,0,3,0,0
23,1,112.0,11,11,4,1,0,0,0,1
174,0,70.0,10,10,3,1,1,0,0,0
66,1,105.0,11,27,3,5,2,0,0,1
31,0,94.5,4,24,4,0,1,3,0,0
8,0,120.0,11,5,3,1,0,0,0,1
2,0,62.8,12,5,3,1,1,0,0,1
2,2,210.0,9,22,4,1,0,0,3,1
93,2,105.3,3,25,4,2,1,0,3,0
0,2,150.0,8,17,4,1,0,0,0,1
57,1,90.67,6,10,3,2,1,0,0,1
1,1,148.8,9,11,4,3,2,0,0,1
26,0,65.0,7,11,2,0,1,0,0,1
6,0,65.0,12,2,2,1,0,0,0,1
13,1,192.67,3,25,4,2,1,0,3,1
4,0,110.0,10,24,0,3,1,0,3,1
0,0,138.99,9,27,4,1,0,0,0,1
56,1,216.9,8,13,4,1,2,0,5,1
1,1,101.0,4,8,4,1,0,0,0,1
67,0,117.6,10,19,4,4,0,0,3,0
221,1,90.95,8,14,4,5,4,0,0,1
10,1,77.6,1,16,3,1,0,0,0,1
46,0,67.5,11,4,3,2,0,0,0,1
91,0,80.0,9,30,3,2,1,0,0,1
95,0,120.0,6,14,3,3,0,0,0,0
286,0,91.0,9,16,3,2,0,1,0,1
20,1,99.0,1,21,4,2,0,0,3,1
182,1,90.95,9,22,3,5,2,0,3,1
141,0,132.0,6,3,3,2,1,0,0,1
270,0,80.0,4,20,3,4,0,0,0,1
213,1,118.15,8,31,4,4,0,0,3,0
4,0,65.0,4,10,2,1,2,0,0,1
69,0,120.0,6,12,3,4,2,0,0,0
157,0,92.65,12,8,3,3,0,0,0,1
74,0,80.0,9,18,3,2,0,1,0,1
47,1,125.1,9,11,4,0,2,3,0,1
4,0,68.0,2,14,2,1,2,0,0,1
22,0,120.5,1,1,4,2,2,0,3,1
49,0,126.0,10,11,4,1,0,0,0,1
0,1,0.0,10,2,1,1,0,0,4,1
94,0,96.3,3,9,4,3,0,0,3,1
338,0,87.3,12,15,4,3,0,0,3,0
230,1,137.0,9,6,4,5,0,0,0,0
5,2,117.67,9,3,4,3,0,0,0,1
26,0,120.0,6,8,3,1,0,0,0,1
